frame,face_id,timestamp,confidence,success,pose_Tx,pose_Ty,pose_Tz,pose_Rx,pose_Ry,pose_Rz,AU01_r,AU02_r,AU04_r,AU05_r,AU06_r,AU07_r,AU09_r,AU10_r,AU12_r,AU14_r,AU15_r,AU17_r,AU20_r,AU23_r,AU25_r,AU26_r,AU45_r,AU01_c,AU02_c,AU04_c,AU05_c,AU06_c,AU07_c,AU09_c,AU10_c,AU12_c,AU14_c,AU15_c,AU17_c,AU20_c,AU23_c,AU25_c,AU26_c,AU28_c,AU45_c
1,0,0.000,0.98,1,-4.2,3.5,325.8,-0.048,0.007,0.037,0.97,0.93,0.52,0.13,0.00,0.00,0.00,0.00,0.00,0.00,0.30,0.00,1.85,0.00,0.00,0.00,0.02,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
2,0,0.067,0.98,1,-3.0,4.2,324.8,-0.044,0.007,0.051,0.88,0.70,0.52,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.40,0.00,2.01,0.00,0.06,0.00,0.00,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
3,0,0.133,0.98,1,-0.8,5.3,323.2,-0.031,0.008,0.065,0.99,0.81,0.39,0.60,0.00,0.00,0.00,0.00,0.00,0.00,0.52,0.00,2.01,0.00,0.00,0.00,0.00,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
4,0,0.200,0.98,1,1.9,6.0,324.8,-0.036,0.008,0.087,1.12,0.91,0.51,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.50,0.00,1.67,0.00,0.09,0.00,0.00,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
5,0,0.267,0.98,1,6.0,6.6,324.8,-0.032,-0.008,0.107,1.14,0.95,0.44,0.11,0.00,0.00,0.00,0.00,0.00,0.00,0.65,0.19,1.36,0.00,0.06,0.00,0.00,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
6,0,0.333,0.98,1,10.2,7.5,323.7,-0.025,-0.019,0.123,1.02,0.84,0.15,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.49,0.37,1.04,0.05,0.15,0.00,0.00,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
7,0,0.400,0.98,1,12.6,8.6,325.1,-0.033,-0.025,0.137,1.19,1.25,0.10,0.48,0.00,0.00,0.00,0.00,0.00,0.00,0.57,0.57,1.05,0.00,0.14,0.02,0.00,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0
8,0,0.467,0.98,1,13.7,8.8,323.2,-0.030,-0.028,0.141,1.72,1.39,0.08,0.16,0.09,0.15,0.00,0.00,0.00,0.00,0.67,0.81,0.50,0.00,0.07,0.00,0.00,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
9,0,0.533,0.98,1,15.0,9.1,325.9,-0.030,-0.036,0.148,2.39,1.60,0.16,0.20,0.00,0.00,0.00,0.00,0.07,0.00,0.77,1.03,0.27,0.00,0.29,0.00,0.17,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0,0.600,0.98,1,15.4,9.5,326.5,-0.022,-0.051,0.158,2.43,1.86,0.42,0.00,0.14,0.36,0.00,0.00,0.27,0.00,0.56,1.19,0.00,0.04,0.13,0.00,0.28,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
