frame,face_id,timestamp,confidence,success,pose_Tx,pose_Ty,pose_Tz,pose_Rx,pose_Ry,pose_Rz,AU01_r,AU02_r,AU04_r,AU05_r,AU06_r,AU07_r,AU09_r,AU10_r,AU12_r,AU14_r,AU15_r,AU17_r,AU20_r,AU23_r,AU25_r,AU26_r,AU45_r,AU01_c,AU02_c,AU04_c,AU05_c,AU06_c,AU07_c,AU09_c,AU10_c,AU12_c,AU14_c,AU15_c,AU17_c,AU20_c,AU23_c,AU25_c,AU26_c,AU28_c,AU45_c
1,0,0.000,0.98,1,-59.7,16.9,378.7,-0.028,-0.118,-0.015,1.45,1.22,0.76,0.58,0.00,0.03,0.00,0.00,0.00,0.00,0.00,0.00,2.18,0.00,0.00,0.00,0.00,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
2,0,0.067,0.98,1,-60.3,16.4,381.2,-0.032,-0.114,-0.015,1.26,1.32,0.74,0.36,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.05,0.00,0.01,0.00,0.02,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
3,0,0.133,0.98,1,-60.3,16.2,381.9,-0.036,-0.114,-0.018,1.16,1.18,0.69,0.33,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.00,2.19,0.00,0.00,0.00,0.00,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
4,0,0.200,0.98,1,-60.0,16.0,381.8,-0.034,-0.113,-0.022,1.27,1.30,0.62,0.65,0.00,0.00,0.00,0.00,0.00,0.00,0.06,0.00,2.24,0.00,0.00,0.00,0.00,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
5,0,0.267,0.98,1,-59.6,15.9,381.2,-0.030,-0.115,-0.024,1.29,1.24,0.69,0.34,0.00,0.00,0.00,0.00,0.00,0.00,0.19,0.00,2.27,0.00,0.00,0.00,0.00,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
6,0,0.333,0.98,1,-59.4,16.0,382.0,-0.028,-0.112,-0.025,1.26,1.23,0.65,0.19,0.00,0.00,0.00,0.00,0.00,0.00,0.23,0.00,2.25,0.00,0.03,0.00,0.00,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
7,0,0.400,0.98,1,-59.1,16.2,381.9,-0.029,-0.113,-0.026,1.25,1.02,0.63,0.51,0.00,0.00,0.00,0.00,0.00,0.00,0.30,0.00,2.21,0.00,0.00,0.00,0.06,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
8,0,0.467,0.98,1,-58.8,16.2,381.7,-0.027,-0.111,-0.026,1.31,1.07,0.64,0.41,0.00,0.00,0.00,0.00,0.00,0.00,0.29,0.00,2.19,0.00,0.00,0.00,0.00,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
9,0,0.533,0.98,1,-58.6,16.4,381.4,-0.028,-0.110,-0.024,1.08,1.11,0.72,0.54,0.00,0.00,0.00,0.00,0.00,0.00,0.23,0.00,2.16,0.00,0.00,0.00,0.00,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
10,0,0.600,0.98,1,-58.5,16.5,382.1,-0.029,-0.110,-0.023,1.07,0.88,0.58,0.55,0.00,0.00,0.00,0.00,0.00,0.00,0.23,0.00,2.37,0.00,0.00,0.00,0.00,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
11,0,0.667,0.98,1,-58.2,16.9,381.3,-0.026,-0.118,-0.021,1.19,0.92,0.59,0.32,0.00,0.00,0.00,0.00,0.00,0.00,0.36,0.00,2.28,0.00,0.02,0.00,0.00,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
12,0,0.733,0.98,1,-58.4,17.4,381.9,-0.023,-0.117,-0.020,1.19,1.03,0.69,0.29,0.00,0.00,0.00,0.00,0.00,0.00,0.37,0.00,2.16,0.00,0.03,0.00,0.00,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
13,0,0.800,0.98,1,-58.4,17.8,381.2,-0.025,-0.113,-0.021,1.18,1.04,0.57,0.55,0.00,0.06,0.00,0.00,0.00,0.00,0.42,0.00,2.38,0.00,0.00,0.00,0.02,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
14,0,0.867,0.98,1,-58.3,18.3,381.3,-0.025,-0.114,-0.021,1.23,1.05,0.73,0.45,0.00,0.00,0.00,0.00,0.00,0.00,0.38,0.00,2.26,0.00,0.02,0.00,0.00,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
15,0,0.933,0.98,1,-58.4,18.9,381.6,-0.024,-0.113,-0.023,1.24,1.08,0.72,0.66,0.00,0.01,0.00,0.00,0.00,0.00,0.33,0.00,2.22,0.00,0.01,0.00,0.00,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
16,0,1.000,0.98,1,-58.5,19.2,381.0,-0.020,-0.114,-0.023,1.14,0.99,0.48,0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.39,0.00,2.00,0.00,0.09,0.00,0.00,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
17,0,1.067,0.98,1,-58.6,19.7,381.4,-0.016,-0.114,-0.023,1.19,1.08,0.61,0.39,0.00,0.00,0.00,0.00,0.00,0.00,0.36,0.00,1.95,0.00,0.12,0.00,0.00,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
18,0,1.133,0.98,1,-57.7,20.6,381.1,-0.016,-0.121,-0.018,1.05,1.00,0.34,0.45,0.00,0.00,0.00,0.00,0.00,0.00,0.37,0.00,2.07,0.00,0.22,0.00,0.07,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
19,0,1.200,0.98,1,-57.1,21.4,380.6,-0.017,-0.132,-0.011,1.00,1.10,0.34,0.30,0.00,0.00,0.00,0.00,0.00,0.00,0.39,0.00,2.19,0.00,0.26,0.00,0.06,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
20,0,1.267,0.98,1,-57.9,23.2,388.2,-0.010,-0.132,-0.009,1.54,1.44,0.33,0.16,0.00,0.12,0.00,0.00,0.00,0.00,0.45,0.00,1.98,0.00,0.52,0.00,3.05,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
